"id","title","amount","department","transaction","views","city","province","date"
82367,"Bribe for property transfer and registration",10000,"Stamps and Registration","Transfer of Property",26,"Bangalore","Karnataka",2015-11-08
82363,"Paid bribe for overspeed challan",500,"Police","Traffic Violations",33,"Ambala","Haryana",2015-11-08
82344,"I Paid Rs. 11111 to Commercial Tax, Sales Tax, VAT in Ahmedabad.",11111,"Commercial Tax, Sales Tax, VAT","C Form",104,"Ahmedabad","Gujarat",2015-11-08
82342,"I Paid Rs. 222 to Food, Civil Supplies and Consumer Affairs in Amadalavalasa.",222,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",49,"Amadalavalasa","Andhra Pradesh",2015-11-08
82341,"I Paid Rs. 10 to Others in Jhansi.",10,"Others","Others",57,"Jhansi","Uttar Pradesh",2015-11-08
82340,"I Paid Rs. 2 to Income Tax in Bangalore.",2,"Income Tax","New PAN Card",55,"Bangalore","Karnataka",2015-11-08
82337,"I Paid Rs. 2 to Municipal Services in Indore.",2,"Municipal Services","Birth Certificate",67,"Indore","Madhya Pradesh",2015-11-08
82334,"I Paid Rs. 200 to Police in Hardoi.",200,"Police","Filing FIR",62,"Hardoi","Uttar Pradesh",2015-11-08
82328,"I Paid Rs. 67 to Municipal Services in Abhayapuri.",67,"Municipal Services","Birth Certificate",60,"Abhayapuri","Assam",2015-11-08
82326,"I Paid Rs. 1000 to Others in Madurai.",1000,"Others","Others",61,"Madurai","Tamil Nadu",2015-11-08
82324,"I Paid Rs. 10 to Customs, Excise and Service Tax in Abohar.",10,"Customs, Excise and Service Tax","Customs Check and Clearance",54,"Abohar","Punjab",2015-11-08
82321,"I Paid Rs. 1 to Municipal Services in Mathura.",1,"Municipal Services","Birth Certificate",55,"Mathura","Uttar Pradesh",2015-11-08
82317,"I Paid Rs. 100 to Food, Civil Supplies and Consumer Affairs in Baripada.",100,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",34,"Baripada","Orissa",2015-11-08
82312,"I Paid Rs. 6766 to Customs, Excise and Service Tax in Achhnera.",6766,"Customs, Excise and Service Tax","Customs Check and Clearance",35,"Achhnera","Uttar Pradesh",2015-11-08
82309,"I Paid Rs. 3023016139 to Municipal Services in Bhagalpur.",3023016139,"Municipal Services","Birth Certificate",36,"Bhagalpur","Bihar",2015-11-08
82307,"I Paid Rs. 100 to Municipal Services in Adari.",100,"Municipal Services","Birth Certificate",41,"Adari","Uttar Pradesh",2015-11-08
82305,"I Paid Rs. 60 to Food, Civil Supplies and Consumer Affairs in Adilabad.",60,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",29,"Adilabad","Telangana",2015-11-08
82304,"I Paid Rs. 300 to Municipal Services in Eluru.",300,"Municipal Services","Birth Certificate",35,"Eluru","Andhra Pradesh",2015-11-08
82303,"I Paid Rs. 500 to Customs, Excise and Service Tax in Abohar.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",37,"Abohar","Punjab",2015-11-08
82302,"I Paid Rs. 25000 to Municipal Services in Hazaribagh.",25000,"Municipal Services","Birth Certificate",33,"Hazaribagh","Jharkhand",2015-11-08
82300,"I Paid Rs. 6000 to Income Tax in Chhatarpur.",6000,"Income Tax","New PAN Card",33,"Chhatarpur","Madhya Pradesh",2015-11-08
82299,"I Paid Rs. 500 to Municipal Services in Abhayapuri.",500,"Municipal Services","Birth Certificate",27,"Abhayapuri","Assam",2015-11-08
82298,"I Paid Rs. 10 to Others in Renukoot.",10,"Others","Others",31,"Renukoot","Uttar Pradesh",2015-11-08
82291,"I Paid Rs. 123 to Food, Civil Supplies and Consumer Affairs in Jaunpur.",123,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",29,"Jaunpur","Uttar Pradesh",2015-11-08
82290,"I Paid Rs. 12 to Police in Achhnera.",12,"Police","Traffic Violations",38,"Achhnera","Uttar Pradesh",2015-11-08
82289,"I Paid Rs. 1 to Municipal Services in Pondicherry.",1,"Municipal Services","Birth Certificate",27,"Pondicherry","Pondicherry",2015-11-08
82280,"Bribe at Sub Registrar Office, Mahadevpura, Bangalore",1000,"Stamps and Registration","Registration of Sale Deed",105,"Bangalore","Karnataka",2015-11-08
82279,"I Paid Rs. 200 to Municipal Services in Abhayapuri.",200,"Municipal Services","Birth Certificate",53,"Abhayapuri","Assam",2015-11-08
82277,"I Paid Rs. 100 to Police in Abhayapuri.",100,"Police","Filing FIR",69,"Abhayapuri","Assam",2015-11-07
82274,"I Paid Rs. 10 to Customs, Excise and Service Tax in Adari.",10,"Customs, Excise and Service Tax","Customs Check and Clearance",51,"Adari","Uttar Pradesh",2015-11-07
82273,"I Paid Rs. 120 to Railways in Hyderabad.",120,"Railways","Transport of Goods",52,"Hyderabad","Telangana",2015-11-07
82272,"I Paid Rs. 4500 to Municipal Services in Abhayapuri.",4500,"Municipal Services","Birth Certificate",53,"Abhayapuri","Assam",2015-11-07
82271,"I Paid Rs. 1000 to Passport in Krishnanagar.",1000,"Passport","Police Verification for Passport",51,"Krishnanagar","West Bengal",2015-11-07
